Linux 6.17.0-35-generic (sentinel-ubuntu-2404) 	06/10/26 	_x86_64_	(8 CPU)

10:31:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:31:48     all   12.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   87.00
10:31:49     all   12.22    0.00    0.37    0.00    0.00    0.00    0.25    0.00    0.00   87.16
10:31:50     all   12.28    0.00    0.25    0.75    0.00    0.00    0.00    0.00    0.00   86.72
10:31:51     all   12.30    0.00    0.12    0.00    0.00    0.00    1.85    0.00    0.00   85.73
10:31:52     all   12.53    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   87.34
10:31:53     all   12.50    0.00    0.00    1.75    0.00    0.00    0.12    0.00    0.00   85.62
10:31:54     all   12.67    0.00    0.13   25.47    0.00    0.00    0.00    0.00    0.00   61.73
10:31:55     all   12.80    0.00    0.50   16.89    0.00    0.00    0.62    0.00    0.00   69.19
10:31:56     all   12.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.44
10:31:57     all   53.37    0.00    0.86    0.00    0.00    0.00   18.24    0.00    0.00   27.54
10:31:58     all   69.93    0.00    0.37    0.00    0.00    0.00   25.99    0.00    0.00    3.71
10:31:59     all   52.05    0.00    0.25    0.00    0.00    0.00   12.58    0.00    0.00   35.12
10:32:00     all   12.16    0.00    0.50    0.00    0.00    0.00    0.13    0.00    0.00   87.22
10:32:01     all   12.34    0.00    0.50    0.00    0.00    0.00    0.12    0.00    0.00   87.03
10:32:02     all   12.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   87.00
10:32:03     all   12.66    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.34
10:32:04     all   12.73    0.00    0.25    0.12    0.00    0.00    0.12    0.00    0.00   86.77
10:32:05     all   12.45    0.00    0.12    0.00    0.00    0.00    0.50    0.00    0.00   86.92
10:32:06     all   12.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.31
10:32:07     all   12.64    0.00    0.00    0.00    0.00    0.00    0.13    0.00    0.00   87.23
10:32:08     all   15.82    0.00    0.25    0.00    0.00    0.00    1.37    0.00    0.00   82.57
10:32:09     all   72.57    0.00    0.62    0.00    0.00    0.12   21.32    0.00    0.00    5.36
10:32:10     all   75.81    0.00    0.25    0.00    0.00    0.00   21.55    0.00    0.00    2.38
