Linux 6.17.0-35-generic (sentinel-ubuntu-2404) 	06/10/26 	_x86_64_	(8 CPU)

10:30:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:30:22     all   12.61    0.00    0.12    0.00    0.00    0.00    0.12    0.00    0.00   87.14
10:30:23     all   12.53    0.00    0.25    8.27    0.00    0.00    0.00    0.00    0.00   78.95
10:30:24     all   12.62    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   74.88
10:30:25     all   12.48    0.00    0.12    2.50    0.00    0.00    0.62    0.00    0.00   84.27
10:30:26     all   12.48    0.00    0.12    0.00    0.00    0.00    0.37    0.00    0.00   87.02
10:30:27     all   12.62    0.00    0.12    0.00    0.00    0.00    0.38    0.00    0.00   86.88
10:30:28     all   12.41    0.00    0.12    0.00    0.00    0.00    1.24    0.00    0.00   86.23
10:30:29     all   12.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.25
10:30:30     all   34.12    0.00    0.62    0.00    0.00    0.00    4.48    0.00    0.00   60.77
10:30:31     all   87.27    0.00    0.25    0.00    0.00    0.00    9.24    0.00    0.00    3.25
10:30:32     all   68.25    0.00    0.25    0.00    0.00    0.00    7.12    0.00    0.00   24.38
10:30:33     all   12.89    0.00    0.00    5.51    0.00    0.00    0.00    0.00    0.00   81.60
10:30:34     all   13.70    0.00    0.62    3.86    0.00    0.00    0.62    0.00    0.00   81.20
10:30:35     all   13.53    0.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00   85.71
10:30:36     all   12.61    0.00    0.25    0.00    0.00    0.00    0.25    0.00    0.00   86.89
10:30:37     all   12.58    0.00    0.12    0.00    0.00    0.00    0.25    0.00    0.00   87.05
10:30:38     all   12.77    0.00    0.13    0.00    0.00    0.00    0.13    0.00    0.00   86.98
10:30:39     all   12.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.23
10:30:40     all   12.53    0.00    0.25   12.28    0.00    0.00    0.13    0.00    0.00   74.81
10:30:41     all   48.82    0.00    0.37    5.47    0.00    0.00    5.09    0.00    0.00   40.25
10:30:42     all   86.94    0.00    0.12    0.00    0.00    0.00   10.45    0.00    0.00    2.49
10:30:43     all   54.32    0.00    0.25    0.13    0.00    0.00    5.26    0.00    0.00   40.05
10:30:44     all   12.73    0.00    0.12    4.74    0.00    0.00    0.50    0.00    0.00   81.90
10:30:45     all   12.66    0.00    0.00    0.00    0.00    0.00    0.13    0.00    0.00   87.22
10:30:46     all   12.47    0.00    0.12    0.00    0.00    0.00    0.37    0.00    0.00   87.03
10:30:47     all   12.52    0.00    0.13    0.00    0.00    0.00    0.13    0.00    0.00   87.23
10:30:48     all   12.84    0.00    0.25    0.00    0.00    0.00    0.12    0.00    0.00   86.78
10:30:49     all   12.61    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   87.14
10:30:50     all   12.75    0.00    0.12    0.00    0.00    0.00    0.25    0.00    0.00   86.88
10:30:51     all   12.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   87.00
10:30:52     all   30.84    0.00    0.37    0.00    0.00    0.00   14.37    0.00    0.00   54.42
10:30:53     all   72.39    0.00    0.12    0.00    0.00    0.00   25.37    0.00    0.00    2.11
10:30:54     all   76.81    0.00    0.25    0.00    0.00    0.00   20.57    0.00    0.00    2.37
10:30:55     all   16.04    0.00    0.13    0.00    0.00    0.00    1.00    0.00    0.00   82.83
10:30:56     all   12.69    0.00    0.25    0.00    0.00    0.00    0.25    0.00    0.00   86.82
10:30:57     all   12.42    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   87.45
10:30:58     all   12.95    0.00    0.00    0.00    0.00    0.00    0.50    0.00    0.00   86.55
10:30:59     all   12.53    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   87.34
10:31:00     all   12.52    0.00    0.00    0.00    0.00    0.00    0.13    0.00    0.00   87.36
10:31:01     all   12.77    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   87.11
10:31:02     all   12.72    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   87.03
10:31:03     all   12.66    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   87.22
10:31:04     all   28.23    0.00    0.37    5.60    0.00    0.00    4.98    0.00    0.00   60.82
10:31:05     all   75.98    0.00    0.13    0.00    0.00    0.00   21.37    0.00    0.00    2.53
10:31:06     all   74.51    0.00    0.37    0.00    0.00    0.00   22.44    0.00    0.00    2.68
