procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 22395316  45772 1694468    0    0  5375   498 2054    1  5  2 80  4  9  0
 1  0      0 22395316  45772 1694480    0    0     0     0 1466  488 12  0 87  0  0  0
 1  0      0 22395316  45772 1694480    0    0     0     0 1315  473 12  0 87  0  0  0
 1  0      0 22395316  45772 1694480    0    0     0  1080 1409  533 12  0 87  1  0  0
 1  0      0 22398996  45772 1694480    0    0     0     0 1359  503 12  0 86  0  2  0
 1  0      0 22398996  45772 1694480    0    0     0     0 1336  484 13  0 87  0  0  0
 1  1      0 22402676  45772 1694480    0    0     0    28 1360  577 13  0 85  2  0  0
 1  2      0 22402676  45780 1694480    0    0     0   440 1481  775 13  0 62 26  0  0
 1  0      0 22413032  45796 1694496    0    0     0   152 1653  696 13  0 69 17  1  0
 1  0      0 22413032  45796 1694496    0    0     0     0 1368  530 13  0 87  0  0  0
 8  0      0 22411860  45812 1694576    0    0     0     0 5854 1829 54  1 28  0 17  0
 7  0      0 22414116  45812 1694628    0    0     0     0 6772 1043 69  0  4  0 27  0
 1  0      0 22415584  45816 1694704    0    0     0  1408 5126  620 53  0 34  0 13  0
 1  0      0 22415584  45816 1694704    0    0     0     0 1352  481 12  1 87  0  0  0
 1  0      0 22416872  45816 1694704    0    0     0    12 1329  475 12  0 87  0  0  0
 1  0      0 22417060  45816 1694720    0    0     0     0 1491  644 12  1 87  0  0  0
 1  0      0 22417060  45816 1694720    0    0     0     0 1334  464 13  0 87  0  0  0
 1  0      0 22417060  45816 1694720    0    0     0   120 1388  488 13  0 87  0  0  0
 1  0      0 22417060  45816 1694720    0    0     0    32 1353  444 13  0 87  0  0  0
 1  0      0 22417332  45816 1694724    0    0     0     0 1329  477 13  0 87  0  0  0
 1  0      0 22417332  45816 1694724    0    0     0     0 1325  457 13  0 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 22417080  45824 1694728    0    0     0     0 1610  474 15  0 84  0  1  0
 8  0      0 22416828  45828 1694832    0    0     0     0 7336 1586 73  1  5  0 21  0
 8  0      0 22416828  45836 1694860    0    0     0   164 7265  758 76  0  2  0 22  0
