procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 22415320  45488 1692900    0    0  7457   589 2223    1  2  2 79  5 11  0
 1  0      0 22415696  45488 1693316    0    0    36     0 1426  497 13  0 87  1  0  0
 1  1      0 22415696  45488 1693316    0    0     0    88 1448  506 13  0 80  8  0  0
 1  1      0 22415696  45488 1693316    0    0     0     0 1289  411 13  0 75 12  0  0
 1  0      0 22415696  45488 1693316    0    0     0     0 1338  446 12  0 84  3  0  0
 1  0      0 22415696  45488 1693316    0    0     0     0 1370  497 13  0 87  0  0  0
 1  0      0 22415696  45488 1693320    0    0     0    20 1320  418 12  0 87  0  0  0
 1  0      0 22415696  45488 1693320    0    0     0     0 1358  446 13  0 86  0  1  0
 1  0      0 22415696  45488 1693320    0    0     0     0 1329  455 13  0 87  0  0  0
 8  0      0 22412192  45512 1693296    0    0     0     0 3332 1286 30  1 66  0  4  0
 8  0      0 22412192  45512 1693296    0    0     0     0 7767  715 87  0  3  0  9  0
 2  0      0 22412752  45516 1693492    0    0     0    24 6623 1004 73  0 20  0  7  0
 1  0      0 22413428  45516 1693544    0    0     0    20 1381  473 13  0 82  6  0  0
 1  1      0 22413428  45524 1693540    0    0     0  1264 1906 1086 14  1 82  3  1  0
 1  0      0 22413428  45540 1693616    0    0     0    72 1553  601 14  0 85  1  0  0
 1  0      0 22413428  45540 1693616    0    0     0     0 1382  471 13  0 87  0  0  0
 1  0      0 22413428  45540 1693616    0    0     0     0 1322  424 13  0 87  0  0  0
 1  0      0 22413428  45540 1693616    0    0     0     0 1339  447 13  0 87  0  0  0
 1  0      0 22413428  45540 1693616    0    0     0     0 1333  441 13  0 87  0  0  0
 1  1      0 22413428  45540 1693616    0    0     0  1532 1491  514 13  0 75 12  0  0
 8  0      0 22412088  45552 1693604    0    0     0 11020 4572 1248 45  0 44  6  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 22411916  45552 1693736    0    0     0  1148 7830  759 88  0  2  0 10  0
 1  0      0 22411916  45692 1693612    0    0   136    16 5284  786 58  0 36  0  6  0
 1  0      0 22411916  45692 1693612    0    0     0   124 1378  482 13  0 82  5  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1345  480 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1369  546 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1358  493 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1374  501 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1369  493 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1359  484 13  0 87  0  0  0
 1  0      0 22411916  45692 1693816    0    0     0     0 1326  414 13  0 87  0  0  0
 8  0      0 22411160  45704 1693804    0    0     0    20 3393 1352 29  1 60  0 10  0
 8  0      0 22411160  45704 1693952    0    0     0     0 7009  887 70  0  2  0 28  0
 8  0      0 22411160  45704 1693968    0    0     0   164 7225  789 77  0  2  0 20  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1951  518 19  0 79  0  2  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1354  466 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0   620 1340  469 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1406  532 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1303  426 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1335  439 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1311  429 13  0 87  0  0  0
 1  0      0 22413016  45708 1694028    0    0     0     0 1422  587 13  0 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 22413016  45708 1694044    0    0     0   168 1332  448 13  0 87  0  0  0
 8  0      0 22413004  45720 1694032    0    0     0   124 2876 1184 25  0 65  5  4  0
 8  0      0 22412292  45720 1694164    0    0     0   112 7113  817 75  0  3  0 22  0
 8  0      0 22412292  45720 1694180    0    0     0    16 7015  815 75  0  3  0 23  0
