sample	epoch_s	pid	cpu_ticks	rss_kb	claude_count
0	1784398363	160983	1	9368	0
1	1784398423	160983	1	9368	0
2	1784398483	160983	1	9368	0
3	1784398543	160983	1	9368	0
4	1784398603	160983	1	9368	0
5	1784398663	160983	1	9368	0
6	1784398723	160983	1	9368	0
7	1784398783	160983	1	9368	0
8	1784398843	160983	1	9368	0
9	1784398903	160983	1	9368	0
10	1784398963	160983	1	9368	0
11	1784399023	160983	1	9368	0
12	1784399084	160983	1	9368	0
13	1784399144	160983	1	9368	0
14	1784399204	160983	1	9368	0
15	1784399264	160983	1	9368	0
16	1784399324	160983	1	9368	0
17	1784399384	160983	2	9368	0
18	1784399444	160983	2	9368	0
19	1784399504	160983	2	9368	0
20	1784399564	160983	2	9368	0
21	1784399624	160983	3	9368	0
22	1784399684	160983	3	9368	0
23	1784399744	160983	3	9368	0
24	1784399804	160983	3	9368	0
25	1784399864	160983	3	9368	0
26	1784399924	160983	3	9368	0
27	1784399984	160983	3	9368	0
28	1784400044	160983	3	9368	0
29	1784400104	160983	3	9368	0
30	1784400164	160983	3	9368	0
31	1784400224	160983	3	9368	0
32	1784400284	160983	3	9368	0
33	1784400344	160983	3	9368	0
34	1784400404	160983	3	9368	0
35	1784400464	160983	3	9368	0
36	1784400524	160983	3	9368	0
37	1784400584	160983	3	9368	0
38	1784400644	160983	3	9368	0
39	1784400704	160983	3	9368	0
40	1784400764	160983	3	9368	0
41	1784400824	160983	3	9368	0
42	1784400884	160983	3	9368	0
43	1784400944	160983	4	9368	0
44	1784401004	160983	4	9368	0
45	1784401064	160983	4	9368	0
46	1784401124	160983	4	9368	0
47	1784401184	160983	4	9368	0
48	1784401245	160983	4	9368	0
49	1784401305	160983	4	9368	0
50	1784401365	160983	4	9368	0
51	1784401425	160983	4	9368	0
52	1784401485	160983	4	9368	0
53	1784401545	160983	4	9368	0
54	1784401605	160983	4	9368	0
55	1784401665	160983	4	9368	0
56	1784401725	160983	4	9368	0
57	1784401785	160983	4	9368	0
58	1784401845	160983	4	9368	0
59	1784401905	160983	4	9368	0
60	1784401965	160983	4	9368	0
