Linux 6.17.0-35-generic (sentinel-ubuntu-2404) 	06/10/26 	_x86_64_	(8 CPU)

17:59:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:59:58     all    9.15    0.00    3.63    2.38    0.00    0.00    0.00    0.00    0.00   84.84
17:59:59     all   11.97    0.00    0.75    3.12    0.00    0.00    0.00    0.00    0.00   84.16
18:00:00     all   11.68    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.31
18:00:01     all   11.53    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   87.47
18:00:02     all   12.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   87.25
18:00:03     all   11.88    0.00    0.88    0.00    0.00    0.00    0.25    0.00    0.00   87.00
18:00:04     all   12.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   87.25
18:00:05     all   12.25    0.00    0.62    2.75    0.00    0.00    0.12    0.00    0.00   84.25
18:00:06     all   12.16    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   87.47
18:00:07     all   12.14    0.00    0.38    0.00    0.00    0.00    0.13    0.00    0.00   87.36
18:00:08     all   12.39    0.00    0.50    2.38    0.00    0.00    0.00    0.00    0.00   84.73
18:00:09     all   12.39    0.00    0.50   10.39    0.00    0.00    0.00    0.00    0.00   76.72
18:00:10     all   11.88    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   87.25
18:00:11     all   12.16    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   87.47
18:00:12     all   12.23    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   87.27
18:00:13     all   12.14    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   87.23
18:00:14     all   12.36    0.00    0.25    0.00    0.00    0.00    0.12    0.00    0.00   87.27
18:00:15     all   12.17    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   87.45
18:00:16     all   12.11    0.00    0.62    0.75    0.00    0.00    0.12    0.00    0.00   86.39
18:00:17     all   12.00    0.00    0.62    0.00    0.00    0.00    0.12    0.00    0.00   87.25
18:00:18     all   12.28    0.00    0.38    1.75    0.00    0.00    0.13    0.00    0.00   85.46
18:00:19     all   11.92    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   87.45
