procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 5163112  70760 2406344    0    0    71   151  539    0  1  0 98  1  0  0
 1  2      0 5019408  70764 2406376    0    0     0   232 1779  750  9  4 85  2  0  0
 1  0      0 4995392  70768 2406432    0    0     0   556 1478  643 12  1 84  3  0  0
 1  0      0 4932992  70768 2406436    0    0     0    40 1401  490 12  1 87  0  0  0
 1  0      0 4950844  70768 2406440    0    0     0     0 1387  499 12  1 87  0  0  0
 1  0      0 4943032  70768 2406440    0    0     0     0 1365  497 12  1 87  0  0  0
 1  0      0 4951240  70768 2406444    0    0     0     0 1449  545 12  1 87  0  0  0
 1  0      0 4957468  70768 2406452    0    0     0    12 1789  669 12  1 87  0  0  0
 1  0      0 4965040  70768 2406456    0    0     0  1156 1454  535 12  1 85  3  0  0
 1  0      0 4980076  70768 2406456    0    0     0  8308 1347  472 12  0 87  0  0  0
 1  0      0 4958796  70768 2406468    0    0     0     8 1426  604 12  1 87  0  0  0
 1  1      0 4971332  70768 2406472    0    0     0    32 1332  513 12  0 85  2  0  0
 1  0      0 4982984  70776 2406508    0    0     0   188 1465  699 13  0 77 10  0  0
 1  0      0 4975204  70776 2406508    0    0     0     0 1360  549 12  1 87  0  0  0
 1  0      0 4975204  70776 2406508    0    0     0     0 1293  437 12  0 87  0  0  0
 1  0      0 4985376  70776 2406508    0    0     0     0 1301  420 12  0 87  0  0  0
 1  0      0 4989600  70776 2406508    0    0     0     0 1307  465 12  1 87  0  0  0
 1  0      0 5002196  70776 2406508    0    0     0   268 1353  472 12  0 87  0  0  0
 1  0      0 4970192  70776 2406508    0    0     0     0 1292  440 12  0 87  0  0  0
 1  0      0 4977980  70776 2406508    0    0     0  1828 1459  547 12  1 86  1  0  0
 1  0      0 4999036  70776 2406508    0    0     0     0 1358  484 12  1 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 5005252  70776 2406512    0    0     0    76 1426  542 12  1 85  2  0  0
 1  0      0 5068108  70776 2406516    0    0     0     8 1456  526 12  1 87  0  0  0
 1  0      0 5075504  70776 2406516    0    0     0     0 1359  511 12  1 87  0  0  0
 1  0      0 5079980  70776 2406516    0    0     0     0 1294  437 12  1 87  0  0  0
 1  0      0 5060712  70776 2406516    0    0     0     0 1364  476 12  1 87  0  0  0
 1  0      0 5062416  70776 2406516    0    0     0     0 1344  457 12  0 87  0  0  0
 1  0      0 5064156  70776 2406520    0    0     0    40 1466  603 12  1 87  0  0  0
 1  0      0 5032604  70776 2406520    0    0     0     0 1303  425 12  1 87  0  0  0
 1  0      0 5034568  70776 2406520    0    0     0     0 1352  488 12  1 87  0  0  0
 1  0      0 5037712  70776 2406520    0    0     0    20 1347  467 12  1 87  0  0  0
 2  0      0 5043224  70776 2406572    0    0     0   144 1650  776 13  1 85  1  0  0
 1  1      0 5046108  70800 2406596    0    0     0  3160 1964 1036 15  1 69 15  0  0
 1  0      0 5024204  70816 2406620    0    0     0  2012 1654  671 12  1 69 18  0  0
 1  0      0 5074708  70816 2406628    0    0     0     0 1420  570 12  1 87  0  0  0
 1  0      0 5078364  70816 2406628    0    0     0     0 1325  443 12  1 87  0  0  0
 1  0      0 5087572  70824 2406628    0    0     0   116 1349  540 12  0 83  5  0  0
 1  0      0 5088172  70832 2406628    0    0     0    56 1429  598 12  0 87  0  0  0
 1  0      0 5066672  70832 2406628    0    0     0    40 1457  572 12  1 87  0  0  0
 1  0      0 5066892  70832 2406628    0    0     0   112 1379  539 12  0 87  0  0  0
 1  0      0 5071388  70832 2406640    0    0     0     0 1360  528 12  1 87  0  0  0
 1  2      0 5038856  70836 2406644    0    0     0   204 1350  487 12  1 85  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 5042772  70840 2406704    0    0     0     8 1444  597 12  0 84  3  0  0
 1  0      0 5042772  70840 2406708    0    0     0   148 1295  419 12  1 87  0  0  0
 1  0      0 5046196  70840 2406708    0    0     0     0 1305  444 12  1 87  0  0  0
 1  0      0 5046196  70840 2406708    0    0     0     0 1314  479 13  0 87  0  0  0
 1  0      0 5049192  70840 2406708    0    0     0     0 1320  468 12  0 87  0  0  0
 1  0      0 5049192  70840 2406708    0    0     0     0 1294  432 12  1 87  0  0  0
 1  0      0 5051816  70840 2406708    0    0     0     0 1292  447 12  1 87  0  0  0
 1  0      0 5051816  70840 2406708    0    0     0     0 1316  438 12  1 87  0  0  0
 1  0      0 5107668  70840 2406712    0    0     0     0 1463  538 12  1 87  0  0  0
 1  0      0 5109700  70848 2406708    0    0     0   216 1490  717 12  1 86  1  0  0
 1  0      0 5112316  70848 2406720    0    0     0  1428 1497  589 12  1 86  1  0  0
 1  0      0 5084132  70848 2406720    0    0     0     0 1302  432 12  1 87  0  0  0
 1  0      0 5086116  70848 2406720    0    0     0     0 1316  448 12  1 87  0  0  0
 1  0      0 5089500  70848 2406720    0    0     0     0 1314  436 12  1 87  0  0  0
 1  0      0 5059440  70848 2406720    0    0     0     0 1333  467 12  1 87  0  0  0
 1  0      0 5059808  70848 2406720    0    0     0    64 1347  455 12  1 87  0  0  0
 1  0      0 5059808  70848 2406720    0    0     0    36 1309  428 12  0 87  0  0  0
 1  0      0 5061040  70848 2406720    0    0     0     0 1295  436 12  1 87  0  0  0
 1  0      0 5062052  70848 2406720    0    0     0     0 1306  442 12  0 87  0  0  0
 1  0      0 5030364  70848 2406724    0    0     0   108 1476  540 12  1 86  1  0  0
 1  0      0 5031524  70848 2406728    0    0     0     8 1514  670 12  1 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 5000400  70848 2406736    0    0     0   636 1535  610 12  1 87  0  0  0
 1  0      0 4983904  70848 2406740    0    0     0     0 1420  553 12  1 87  0  0  0
 0  1      0 4982816  70868 2406756    0    0     0   168  905  544  5  0 87  7  0  0
 0  1      0 4974244  70884 2410984    0    0     0  4176  537  524  1  0 86 12  0  0
 0  1      0 4992748  70912 2411476    0    0     0  4824  573  590  1  0 87 12  0  0
 0  1      0 5007248  70920 2411476    0    0     0  4108  495  506  1  0 87 12  0  0
 0  1      0 5022776  70932 2411708    0    0     0   476  408  474  0  0 87 13  0  0
 0  1      0 5037608  70932 2411720    0    0     0     0  535  638  0  0 87 13  0  0
 1  0      0 5055172  70940 2411744    0    0     0   184  658  812  1  0 81 18  0  0
 0  2      0 5069448  70944 2411748    0    0     0  4144  429  595  0  0 86 13  0  0
 0  1      0 5076140  70952 2412012    0    0     0   588  453  538  0  0 87 13  0  0
 0  1      0 5100548  70968 2412196    0    0     0  4736 1215 1364  0  0 66 34  0  0
 0  1      0 5105680  70972 2412196    0    0     0    36  440  499  0  0 87 12  0  0
 0  1      0 5109416  71008 2412836    0    0     0  5244  661  694  1  0 83 16  0  0
