File  .text     Size Crate
8.6%  25.6%   1.5MiB [Unknown]
4.9%  14.6% 855.2KiB std
3.3%   9.9% 581.2KiB async_nats
2.4%   7.2% 421.0KiB rustls
1.7%   5.1% 297.3KiB clap_builder
1.7%   5.0% 293.4KiB ring
1.6%   4.9% 285.2KiB sentinel_gaia_loop
1.1%   3.4% 200.0KiB regex_syntax
1.0%   2.9% 172.2KiB tokio
0.9%   2.7% 157.4KiB regex_automata
0.7%   2.1% 123.8KiB tracing_subscriber
0.6%   1.7%  98.1KiB libsqlite3_sys
0.5%   1.4%  81.6KiB serde_json
0.4%   1.2%  71.4KiB data_encoding
0.3%   1.0%  60.8KiB webpki
0.2%   0.7%  43.0KiB url
0.2%   0.7%  39.6KiB idna
0.2%   0.6%  36.0KiB tokio_websockets
0.2%   0.5%  30.0KiB sha2
0.2%   0.5%  29.8KiB curve25519_dalek
2.3%   6.9% 407.8KiB And 83 more crates. Use -n N to show more.
33.5% 100.0%   5.7MiB .text section size, the file size is 17.1MiB
