root	tier	dependency	version	requested_features	default_features	release_features	metadata_union_features	manifest
sentinel-ctl	B	anyhow	1.0.103		true	default,std	default,std	services/sentinel-ctl/Cargo.toml
sentinel-ctl	B	clap	4.5.60	derive	true	color,default,derive,error-context,help,std,suggestions,usage	color,default,derive,error-context,help,std,suggestions,usage	services/sentinel-ctl/Cargo.toml
sentinel-ctl	B	reqwest	0.12.28	blocking,json,rustls-tls	false	__rustls,__rustls-ring,__tls,blocking,json,rustls-tls,rustls-tls-webpki-roots,rustls-tls-webpki-roots-no-provider	__rustls,__rustls-ring,__tls,blocking,json,rustls-tls,rustls-tls-webpki-roots,rustls-tls-webpki-roots-no-provider	services/sentinel-ctl/Cargo.toml
sentinel-ctl	B	serde	1.0.228	derive	true	default,derive,serde_derive,std	alloc,default,derive,serde_derive,std	services/sentinel-ctl/Cargo.toml
sentinel-ctl	B	serde_json	1.0.149		true	default,std	alloc,default,raw_value,std	services/sentinel-ctl/Cargo.toml
sentinel-daemon	A	anyhow	1.0.103		true	default,std	default,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	async-nats	0.47.0		true	crypto,default,jetstream,kv,nkeys,nuid,object-store,ring,server_2_10,server_2_11,server_2_12,service,websockets	crypto,default,jetstream,kv,nkeys,nuid,object-store,ring,server_2_10,server_2_11,server_2_12,service,websockets	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	bevy_ecs	0.18.1		true	async_executor,backtrace,bevy_reflect,default,std	async_executor,backtrace,bevy_reflect,default,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	bincode	2.0.1	serde	true	alloc,bincode_derive,default,derive,serde,std	alloc,bincode_derive,default,derive,serde,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	chrono	0.4.44		true	alloc,clock,default,iana-time-zone,js-sys,now,oldtime,std,wasm-bindgen,wasmbind,winapi,windows-link	alloc,clock,default,iana-time-zone,js-sys,now,oldtime,serde,std,wasm-bindgen,wasmbind,winapi,windows-link	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	clap	4.5.60	derive	true	color,default,derive,error-context,help,std,suggestions,usage	color,default,derive,error-context,help,std,suggestions,usage	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	futures	0.3.32		true	alloc,async-await,default,executor,futures-executor,std	alloc,async-await,default,executor,futures-executor,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	redb	3.1.1		true	default		services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	reqwest	0.12.28	blocking,json,rustls-tls	false	__rustls,__rustls-ring,__tls,blocking,json,rustls-tls,rustls-tls-webpki-roots,rustls-tls-webpki-roots-no-provider	__rustls,__rustls-ring,__tls,blocking,json,rustls-tls,rustls-tls-webpki-roots,rustls-tls-webpki-roots-no-provider	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-cluster-control	0.1.0		true	default		services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-common	0.1.0		true	default	default,test-util	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-ebpf	0.1.0		true	default	aya,aya-log,default,ebpf,libc,object	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-ecs	0.1.0		true	default	default,wasm	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-fs	0.1.0		true	default,telemetry	default,fuse-tests,fuser,libc,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-hippocampus	0.1.0		true	default		services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-limbo	0.1.0		true	default,telemetry	default,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-projection	0.1.0		true	default,telemetry	default,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-redb	0.1.0		true	default,telemetry	default,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-runtime	0.1.0		true	default		services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-sandbox	0.1.0		true	default		services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-telemetry	0.1.0		true	default,telemetry	default,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-wasm	0.1.0		true	default	default,wasm	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sentinel-zenoh	0.1.0		true	default,telemetry	default,telemetry	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	serde	1.0.228	derive	true	alloc,default,derive,serde_derive,std	alloc,default,derive,serde_derive,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	serde_json	1.0.149		true	alloc,default,std	alloc,default,raw_value,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	sha2	0.10.9		true	default,std	default,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	tokio	1.52.3	full	true	bytes,default,fs,full,io-std,io-util,libc,macros,mio,net,parking_lot,process,rt,rt-multi-thread,signal,signal-hook-registry,socket2,sync,test-util,time,tokio-macros	bytes,default,fs,full,io-std,io-util,libc,macros,mio,net,parking_lot,process,rt,rt-multi-thread,signal,signal-hook-registry,socket2,sync,test-util,time,tokio-macros,windows-sys	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	toml	1.0.6+spec-1.1.0		true	default,display,parse,serde,std	default,display,parse,serde,std	services/sentinel-daemon/Cargo.toml
sentinel-daemon	A	tracing	0.1.44		true	attributes,default,log,std,tracing-attributes	attributes,default,log,std,tracing-attributes	services/sentinel-daemon/Cargo.toml
