duplicate_name	duplicate_version	child_name	child_version	parent_name	parent_version	edge_contexts	parent_workspace_root	parent_release_tier	cargo_all_targets_active
cpufeatures	0.2.17	aes	0.8.4	zenoh-crypto	1.7.2	normal:all	false		true
cpufeatures	0.2.17	async-nats	0.47.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	async-nats	0.47.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	async-nats	0.47.0	sentinel-gaia-loop	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	blake3	1.8.3	sentinel-fs	0.1.0	normal:all	true		true
cpufeatures	0.2.17	blake3	1.8.3	sentinel-gaia	0.1.0	normal:all	true	B	true
cpufeatures	0.2.17	cpufeatures	0.2.17	aes	0.8.4	"normal:cfg(any(target_arch = ""aarch64"", target_arch = ""x86_64"", target_arch = ""x86""))"	false		true
cpufeatures	0.2.17	cpufeatures	0.2.17	blake3	1.8.3	"normal:cfg(any(target_arch = ""x86"", target_arch = ""x86_64""))"	false		true
cpufeatures	0.2.17	cpufeatures	0.2.17	curve25519-dalek	4.1.3	"normal:cfg(target_arch = ""x86_64"")"	false		true
cpufeatures	0.2.17	cpufeatures	0.2.17	keccak	0.1.6	"normal:cfg(target_arch = ""aarch64"")"	false		true
cpufeatures	0.2.17	cpufeatures	0.2.17	sha1	0.10.6	"normal:cfg(any(target_arch = ""aarch64"", target_arch = ""x86"", target_arch = ""x86_64""))"	false		true
cpufeatures	0.2.17	cpufeatures	0.2.17	sha2	0.10.9	"normal:cfg(any(target_arch = ""aarch64"", target_arch = ""x86_64"", target_arch = ""x86""))"	false		true
cpufeatures	0.2.17	curve25519-dalek	4.1.3	ed25519-dalek	2.2.0	normal:all	false		true
cpufeatures	0.2.17	ed25519-dalek	2.2.0	nkeys	0.4.5	normal:all	false		true
cpufeatures	0.2.17	json5	0.4.1	validated_struct	2.2.0	normal:all	false		true
cpufeatures	0.2.17	json5	0.4.1	zenoh	1.7.2	normal:all	false		true
cpufeatures	0.2.17	json5	0.4.1	zenoh-config	1.7.2	normal:all	false		true
cpufeatures	0.2.17	keccak	0.1.6	sha3	0.10.8	normal:all	false		true
cpufeatures	0.2.17	nkeys	0.4.5	async-nats	0.47.0	normal:all	false		true
cpufeatures	0.2.17	pest_derive	2.8.6	json5	0.4.1	normal:all	false		true
cpufeatures	0.2.17	pest_generator	2.8.6	pest_derive	2.8.6	normal:all	false		true
cpufeatures	0.2.17	pest_meta	2.8.6	pest_generator	2.8.6	normal:all	false		true
cpufeatures	0.2.17	sentinel-bio	0.1.0	sentinel-ecs	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-cluster-control	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-bio	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-cluster-control	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-ebpf	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-ecs	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-fs	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-gaia	0.1.0	normal:all	true	B	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-gaia-loop	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-hippocampus	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-limbo	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-microvm	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-nightrun	0.1.0	normal:all	true	C	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-physics	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-projection	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-projection-service	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-redb	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-runtime	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-sandbox	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-telemetry	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-wasm	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-common	0.1.0	sentinel-zenoh	0.1.0	dev:all;normal:all	true		true
cpufeatures	0.2.17	sentinel-console-plane	0.1.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-ebpf	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-ecs	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-ecs	0.1.0	sentinel-runtime	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-fs	0.1.0	sentinel-console-plane	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-fs	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-fs	0.1.0	sentinel-microvm	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-fs	0.1.0	sentinel-sandbox	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-gaia	0.1.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-gaia-loop	0.1.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-hippocampus	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-hippocampus	0.1.0	sentinel-gaia-memory	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-hippocampus	0.1.0	sentinel-nightrun	0.1.0	normal:all	true	C	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-daemon	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-dashboard-backend	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-ecs	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-gaia-loop	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-gaia-memory	0.1.0	dev:all	true		true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-nightrun	0.1.0	normal:all	true	C	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-projection	0.1.0	normal:all	true		true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-projection-service	0.1.0	normal:all	true	A	true
cpufeatures	0.2.17	sentinel-limbo	0.1.0	sentinel-runtime	0.1.0	dev:all;normal:all	true		true
