name	version	source	primary_reachability	reachable_in_roots	root_tiers	also_dev	also_foreign_target
addr2line	0.26.0	registry	release-normal	sentinel-daemon	A	false	false
adler2	2.0.1	registry	release-normal	sentinel-daemon	A	false	false
aes	0.8.4	registry	release-normal	sentinel-daemon	A	false	false
agent-runtime	0.1.0	workspace	release-normal	agent-runtime	B	false	false
ahash	0.8.12	registry	release-normal	sentinel-daemon	A	false	false
aho-corasick	1.1.4	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,C	true	false
alloca	0.4.0	registry	dev-bench-only			true	false
allocator-api2	0.2.21	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
ambient-authority	0.0.2	registry	release-normal	sentinel-daemon	A	false	false
android_system_properties	0.1.5	registry	target-only			false	true
anes	0.1.6	registry	dev-bench-only			true	false
anstream	0.6.21	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
anstyle	1.0.13	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
anstyle-parse	0.2.7	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
anstyle-query	1.1.5	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
anstyle-wincon	3.0.11	registry	target-only			false	true
anyhow	1.0.103	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	true
approx	0.5.1	registry	dev-bench-only			true	false
arbitrary	1.4.2	registry	release-normal	sentinel-daemon	A	false	false
arc-swap	1.8.2	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
array-init	2.1.0	registry	release-normal	sentinel-daemon	A	false	false
arrayref	0.3.9	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia	A,B	false	false
arrayvec	0.7.6	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
asn1-rs	0.7.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend	A	false	false
asn1-rs-derive	0.6.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	false	false
asn1-rs-impl	0.2.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	false	false
assert_matches	1.5.0	registry	release-normal	sentinel-daemon	A	false	false
assert_type_match	0.1.1	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
async-channel	2.5.0	registry	target-only			false	true
async-executor	1.14.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
async-nats	0.47.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
async-task	4.7.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
async-trait	0.1.89	registry	release-build	sentinel-daemon	A	false	false
atomic-waker	1.1.2	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
autocfg	1.5.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend	A	true	false
aws-lc-rs	1.17.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
aws-lc-sys	0.41.0	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
axum	0.8.9	registry	release-normal	sentinel-dashboard-backend	A	false	false
axum-core	0.5.6	registry	release-normal	sentinel-dashboard-backend	A	false	false
axum-server	0.7.3	registry	release-normal	sentinel-dashboard-backend	A	false	false
aya	0.13.2	git	release-normal	sentinel-daemon	A	false	false
aya-log	0.2.2	git	release-normal	sentinel-daemon	A	false	false
aya-log-common	0.1.16	git	release-normal	sentinel-daemon	A	false	false
aya-obj	0.2.2	git	release-normal	sentinel-daemon	A	false	false
base64	0.22.1	registry	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A,B	false	false
base64ct	1.8.3	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	false	false
bevy_ecs	0.18.1	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_ecs_macros	0.18.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_macro_utils	0.18.0	registry	release-build	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_platform	0.18.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
bevy_ptr	0.18.0	registry	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	A,B,C	true	false
