record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
package				anstream	0.6.21	registry	true	false	false
package				anstyle	1.0.13	registry	true	false	false
package				anstyle-parse	0.2.7	registry	true	false	false
package				anstyle-query	1.1.5	registry	true	false	false
package				anyhow	1.0.103	registry	true	false	false
package				atomic-waker	1.1.2	registry	true	false	false
package				base64	0.22.1	registry	true	false	false
package				bitflags	2.11.0	registry	true	false	false
package				bytes	1.11.1	registry	true	false	false
package				cfg-if	1.0.4	registry	true	false	false
package				clap	4.5.60	registry	true	false	false
package				clap_builder	4.5.60	registry	true	false	false
package				clap_derive	4.5.55	registry	false	true	false
package				clap_lex	1.0.0	registry	true	false	false
package				colorchoice	1.0.4	registry	true	false	false
package				displaydoc	0.2.5	registry	false	true	false
package				form_urlencoded	1.2.2	registry	true	false	false
package				futures-channel	0.3.32	registry	true	false	false
package				futures-core	0.3.32	registry	true	false	false
package				futures-io	0.3.32	registry	true	false	false
package				futures-sink	0.3.32	registry	true	false	false
package				futures-task	0.3.32	registry	true	false	false
package				futures-util	0.3.32	registry	true	false	false
package				getrandom	0.2.17	registry	true	false	false
package				heck	0.5.0	registry	false	true	false
package				http	1.4.0	registry	true	false	false
package				http-body	1.0.1	registry	true	false	false
package				http-body-util	0.1.3	registry	true	false	false
package				httparse	1.10.1	registry	true	false	false
package				hyper	1.8.1	registry	true	false	false
package				hyper-rustls	0.27.7	registry	true	false	false
package				hyper-util	0.1.20	registry	true	false	false
package				icu_collections	2.1.1	registry	true	false	false
package				icu_locale_core	2.1.1	registry	true	false	false
package				icu_normalizer	2.1.1	registry	true	false	false
package				icu_normalizer_data	2.1.1	registry	true	false	false
package				icu_properties	2.1.2	registry	true	false	false
package				icu_properties_data	2.1.2	registry	true	false	false
package				icu_provider	2.1.1	registry	true	false	false
package				idna	1.1.0	registry	true	false	false
package				idna_adapter	1.2.1	registry	true	false	false
package				ipnet	2.11.0	registry	true	false	false
package				iri-string	0.7.10	registry	true	false	false
package				is_terminal_polyfill	1.70.2	registry	true	false	false
