record	parent_name	parent_version	parent_source	name	version	source	normal_context	build_context	is_root
package				aho-corasick	1.1.4	registry	true	false	false
package				anstream	0.6.21	registry	true	false	false
package				anstyle	1.0.13	registry	true	false	false
package				anstyle-parse	0.2.7	registry	true	false	false
package				anstyle-query	1.1.5	registry	true	false	false
package				anyhow	1.0.103	registry	true	false	false
package				arc-swap	1.8.2	registry	true	false	false
package				arrayref	0.3.9	registry	true	false	false
package				arrayvec	0.7.6	registry	true	false	false
package				asn1-rs	0.7.1	registry	true	false	false
package				asn1-rs-derive	0.6.0	registry	false	true	false
package				asn1-rs-impl	0.2.0	registry	false	true	false
package				assert_type_match	0.1.1	registry	false	true	false
package				async-executor	1.14.0	registry	true	false	false
package				async-nats	0.47.0	registry	true	false	false
package				async-task	4.7.1	registry	true	false	false
package				atomic-waker	1.1.2	registry	true	false	false
package				autocfg	1.5.0	registry	true	false	false
package				aws-lc-rs	1.17.0	registry	true	false	false
package				aws-lc-sys	0.41.0	registry	true	false	false
package				axum	0.8.9	registry	true	false	false
package				axum-core	0.5.6	registry	true	false	false
package				axum-server	0.7.3	registry	true	false	false
package				base64	0.22.1	registry	true	false	false
package				base64ct	1.8.3	registry	true	false	false
package				bevy_ecs	0.18.1	registry	true	false	false
package				bevy_ecs_macros	0.18.0	registry	false	true	false
package				bevy_macro_utils	0.18.0	registry	false	true	false
package				bevy_platform	0.18.0	registry	true	false	false
package				bevy_ptr	0.18.0	registry	true	false	false
package				bevy_reflect	0.18.0	registry	true	false	false
package				bevy_reflect_derive	0.18.0	registry	false	true	false
package				bevy_tasks	0.18.0	registry	true	false	false
package				bevy_utils	0.18.0	registry	true	false	false
package				bincode	2.0.1	registry	true	false	false
package				bincode_derive	2.0.1	registry	false	true	false
package				bitflags	2.11.0	registry	true	false	false
package				blake3	1.8.3	registry	true	false	false
package				block-buffer	0.10.4	registry	true	false	false
package				bumpalo	3.20.2	registry	true	false	false
package				bytes	1.11.1	registry	true	false	false
package				cc	1.2.56	registry	true	false	false
package				cfg-if	1.0.4	registry	true	false	false
package				cfg_aliases	0.2.1	registry	true	false	false
package				clap	4.5.60	registry	true	false	false
package				clap_builder	4.5.60	registry	true	false	false
package				clap_derive	4.5.55	registry	false	true	false
package				clap_lex	1.0.0	registry	true	false	false
package				cmake	0.1.58	registry	true	false	false
package				colorchoice	1.0.4	registry	true	false	false
package				concurrent-queue	2.5.0	registry	true	false	false
package				const-oid	0.9.6	registry	true	false	false
package				constant_time_eq	0.4.2	registry	true	false	false
package				convert_case	0.10.0	registry	false	true	false
package				cpufeatures	0.2.17	registry	true	false	false
package				crossbeam-deque	0.8.6	registry	true	false	false
package				crossbeam-epoch	0.9.20	registry	true	false	false
package				crossbeam-queue	0.3.12	registry	true	false	false
package				crossbeam-utils	0.8.21	registry	true	false	false
package				crypto-common	0.1.7	registry	true	false	false
package				curve25519-dalek	4.1.3	registry	true	false	false
package				curve25519-dalek-derive	0.1.1	registry	false	true	false
package				data-encoding	2.10.0	registry	true	false	false
package				der	0.7.10	registry	true	false	false
package				der-parser	10.0.0	registry	true	false	false
package				deranged	0.5.8	registry	true	false	false
package				derive_more	2.1.1	registry	true	false	false
package				derive_more-impl	2.1.1	registry	false	true	false
package				digest	0.10.7	registry	true	false	false
package				displaydoc	0.2.5	registry	false	true	false
package				disqualified	1.0.0	registry	true	false	false
package				downcast-rs	2.0.2	registry	true	false	false
package				dunce	1.0.5	registry	true	false	false
package				ed25519	2.2.3	registry	true	false	false
package				ed25519-dalek	2.2.0	registry	true	false	false
package				either	1.15.0	registry	true	false	false
package				equivalent	1.0.2	registry	true	true	false
package				erased-serde	0.4.9	registry	true	false	false
package				errno	0.3.14	registry	true	false	false
package				fallible-iterator	0.3.0	registry	true	false	false
package				fallible-streaming-iterator	0.1.9	registry	true	false	false
package				fastrand	2.3.0	registry	true	false	false
package				find-msvc-tools	0.1.9	registry	true	false	false
package				fixedbitset	0.5.7	registry	true	false	false
package				flatbuffers	25.12.19	registry	true	false	false
package				fnv	1.0.7	registry	true	false	false
package				foldhash	0.2.0	registry	true	false	false
package				form_urlencoded	1.2.2	registry	true	false	false
package				fs-err	3.3.0	registry	true	false	false
package				fs2	0.4.3	registry	true	false	false
package				fs_extra	1.3.0	registry	true	false	false
package				futures	0.3.32	registry	true	false	false
package				futures-channel	0.3.32	registry	true	false	false
package				futures-core	0.3.32	registry	true	false	false
package				futures-executor	0.3.32	registry	true	false	false
package				futures-io	0.3.32	registry	true	false	false
package				futures-lite	2.6.1	registry	true	false	false
package				futures-macro	0.3.32	registry	false	true	false
package				futures-sink	0.3.32	registry	true	false	false
package				futures-task	0.3.32	registry	true	false	false
package				futures-util	0.3.32	registry	true	false	false
package				generic-array	0.14.7	registry	true	false	false
package				getrandom	0.2.17	registry	true	false	false
package				getrandom	0.3.4	registry	true	false	false
package				getrandom	0.4.1	registry	true	false	false
package				h2	0.4.14	registry	true	false	false
package				hashbrown	0.16.1	registry	true	false	false
package				hashbrown	0.17.1	registry	true	true	false
package				hashlink	0.11.0	registry	true	false	false
package				heck	0.5.0	registry	false	true	false
package				httlib-huffman	0.3.4	registry	true	false	false
package				http	1.4.0	registry	true	false	false
package				http-body	1.0.1	registry	true	false	false
package				http-body-util	0.1.3	registry	true	false	false
package				http-range-header	0.4.2	registry	true	false	false
package				httparse	1.10.1	registry	true	false	false
package				httpdate	1.0.3	registry	true	false	false
package				hyper	1.8.1	registry	true	false	false
package				hyper-rustls	0.27.7	registry	true	false	false
package				hyper-util	0.1.20	registry	true	false	false
package				icu_collections	2.1.1	registry	true	false	false
