parent_name	parent_version	child_name	child_version	edge_contexts	cargo_all_targets_active
addr2line	0.26.0	gimli	0.33.0	normal:all	true
aes	0.8.4	cfg-if	1.0.4	normal:all	true
aes	0.8.4	cipher	0.4.4	normal:all	true
aes	0.8.4	cpufeatures	0.2.17	"normal:cfg(any(target_arch = ""aarch64"", target_arch = ""x86_64"", target_arch = ""x86""))"	true
ahash	0.8.12	cfg-if	1.0.4	normal:all	true
ahash	0.8.12	getrandom	0.3.4	normal:all	true
ahash	0.8.12	once_cell	1.21.3	"normal:cfg(not(all(target_arch = ""arm"", target_os = ""none"")))"	true
ahash	0.8.12	version_check	0.9.5	build:all	true
ahash	0.8.12	zerocopy	0.8.40	normal:all	true
aho-corasick	1.1.4	memchr	2.8.0	normal:all	true
alloca	0.4.0	cc	1.2.56	build:all	true
android_system_properties	0.1.5	libc	0.2.186	normal:all	true
anstream	0.6.21	anstyle	1.0.13	normal:all	true
anstream	0.6.21	anstyle-parse	0.2.7	normal:all	true
anstream	0.6.21	anstyle-query	1.1.5	normal:all	true
anstream	0.6.21	anstyle-wincon	3.0.11	normal:cfg(windows)	true
anstream	0.6.21	colorchoice	1.0.4	normal:all	true
anstream	0.6.21	is_terminal_polyfill	1.70.2	normal:all	true
anstream	0.6.21	utf8parse	0.2.2	normal:all	true
anstyle-parse	0.2.7	utf8parse	0.2.2	normal:all	true
anstyle-query	1.1.5	windows-sys	0.61.2	normal:cfg(windows)	true
anstyle-wincon	3.0.11	anstyle	1.0.13	normal:all	true
anstyle-wincon	3.0.11	once_cell_polyfill	1.70.2	normal:cfg(windows)	true
anstyle-wincon	3.0.11	windows-sys	0.61.2	normal:cfg(windows)	true
approx	0.5.1	num-traits	0.2.19	normal:all	true
arc-swap	1.8.2	rustversion	1.0.22	normal:all	true
asn1-rs	0.7.1	asn1-rs-derive	0.6.0	normal:all	true
asn1-rs	0.7.1	asn1-rs-impl	0.2.0	normal:all	true
asn1-rs	0.7.1	displaydoc	0.2.5	normal:all	true
asn1-rs	0.7.1	nom	7.1.3	normal:all	true
asn1-rs	0.7.1	num-traits	0.2.19	normal:all	true
asn1-rs	0.7.1	rusticata-macros	4.1.0	normal:all	true
asn1-rs	0.7.1	thiserror	2.0.18	normal:all	true
asn1-rs	0.7.1	time	0.3.47	normal:all	true
asn1-rs-derive	0.6.0	proc-macro2	1.0.106	normal:all	true
asn1-rs-derive	0.6.0	quote	1.0.44	normal:all	true
asn1-rs-derive	0.6.0	syn	2.0.117	normal:all	true
asn1-rs-derive	0.6.0	synstructure	0.13.2	normal:all	true
asn1-rs-impl	0.2.0	proc-macro2	1.0.106	normal:all	true
asn1-rs-impl	0.2.0	quote	1.0.44	normal:all	true
asn1-rs-impl	0.2.0	syn	2.0.117	normal:all	true
assert_type_match	0.1.1	proc-macro2	1.0.106	normal:all	true
assert_type_match	0.1.1	quote	1.0.44	normal:all	true
assert_type_match	0.1.1	syn	2.0.117	normal:all	true
async-channel	2.5.0	concurrent-queue	2.5.0	normal:all	true
async-channel	2.5.0	event-listener-strategy	0.5.4	normal:all	true
async-channel	2.5.0	futures-core	0.3.32	normal:all	true
async-channel	2.5.0	pin-project-lite	0.2.16	normal:all	true
async-executor	1.14.0	async-task	4.7.1	normal:all	true
async-executor	1.14.0	concurrent-queue	2.5.0	normal:all	true
async-executor	1.14.0	fastrand	2.3.0	normal:all	true
async-executor	1.14.0	futures-lite	2.6.1	"normal:all;normal:cfg(target_family = ""wasm"")"	true
async-executor	1.14.0	pin-project-lite	0.2.16	normal:all	true
async-executor	1.14.0	slab	0.4.12	normal:all	true
async-nats	0.47.0	base64	0.22.1	normal:all	true
async-nats	0.47.0	bytes	1.11.1	normal:all	true
async-nats	0.47.0	futures-util	0.3.32	normal:all	true
async-nats	0.47.0	memchr	2.8.0	normal:all	true
async-nats	0.47.0	nkeys	0.4.5	normal:all	true
async-nats	0.47.0	nuid	0.5.0	normal:all	true
async-nats	0.47.0	pin-project	1.1.10	normal:all	true
async-nats	0.47.0	portable-atomic	1.13.1	normal:all	true
async-nats	0.47.0	rand	0.8.6	normal:all	true
async-nats	0.47.0	regex	1.12.3	normal:all	true
async-nats	0.47.0	ring	0.17.14	normal:all	true
async-nats	0.47.0	rustls-native-certs	0.8.3	normal:all	true
async-nats	0.47.0	rustls-pki-types	1.14.0	normal:all	true
async-nats	0.47.0	rustls-webpki	0.103.13	normal:all	true
async-nats	0.47.0	serde	1.0.228	normal:all	true
async-nats	0.47.0	serde_json	1.0.149	normal:all	true
async-nats	0.47.0	serde_nanos	0.1.4	normal:all	true
async-nats	0.47.0	serde_repr	0.1.20	normal:all	true
async-nats	0.47.0	thiserror	1.0.69	normal:all	true
async-nats	0.47.0	time	0.3.47	normal:all	true
async-nats	0.47.0	tokio	1.52.3	normal:all	true
async-nats	0.47.0	tokio-rustls	0.26.4	normal:all	true
async-nats	0.47.0	tokio-stream	0.1.18	normal:all	true
async-nats	0.47.0	tokio-util	0.7.18	normal:all	true
async-nats	0.47.0	tokio-websockets	0.10.1	normal:all	true
async-nats	0.47.0	tracing	0.1.44	normal:all	true
async-nats	0.47.0	tryhard	0.5.2	normal:all	true
async-nats	0.47.0	url	2.5.8	normal:all	true
async-task	4.7.1	portable-atomic	1.13.1	normal:all	true
async-trait	0.1.89	proc-macro2	1.0.106	normal:all	true
async-trait	0.1.89	quote	1.0.44	normal:all	true
async-trait	0.1.89	syn	2.0.117	normal:all	true
atomic-waker	1.1.2	portable-atomic	1.13.1	normal:all	true
aws-lc-rs	1.17.0	aws-lc-sys	0.41.0	normal:all	true
aws-lc-rs	1.17.0	zeroize	1.8.2	normal:all	true
aws-lc-sys	0.41.0	cc	1.2.56	build:all	true
aws-lc-sys	0.41.0	cmake	0.1.58	build:all	true
aws-lc-sys	0.41.0	dunce	1.0.5	build:all	true
aws-lc-sys	0.41.0	fs_extra	1.3.0	build:all	true
axum	0.8.9	axum-core	0.5.6	normal:all	true
axum	0.8.9	bytes	1.11.1	normal:all	true
axum	0.8.9	form_urlencoded	1.2.2	normal:all	true
axum	0.8.9	futures-util	0.3.32	normal:all	true
axum	0.8.9	http	1.4.0	normal:all	true
axum	0.8.9	http-body	1.0.1	normal:all	true
axum	0.8.9	http-body-util	0.1.3	normal:all	true
axum	0.8.9	hyper	1.8.1	normal:all	true
axum	0.8.9	hyper-util	0.1.20	normal:all	true
axum	0.8.9	itoa	1.0.17	normal:all	true
axum	0.8.9	matchit	0.8.4	normal:all	true
axum	0.8.9	memchr	2.8.0	normal:all	true
axum	0.8.9	mime	0.3.17	normal:all	true
axum	0.8.9	percent-encoding	2.3.2	normal:all	true
axum	0.8.9	pin-project-lite	0.2.16	normal:all	true
axum	0.8.9	serde_core	1.0.228	normal:all	true
axum	0.8.9	serde_json	1.0.149	normal:all	true
axum	0.8.9	serde_path_to_error	0.1.20	normal:all	true
axum	0.8.9	serde_urlencoded	0.7.1	normal:all	true
axum	0.8.9	sync_wrapper	1.0.2	normal:all	true
axum	0.8.9	tokio	1.52.3	normal:all	true
axum	0.8.9	tower	0.5.3	normal:all	true
axum	0.8.9	tower-layer	0.3.3	normal:all	true
axum	0.8.9	tower-service	0.3.3	normal:all	true
axum	0.8.9	tracing	0.1.44	normal:all	true
axum-core	0.5.6	bytes	1.11.1	normal:all	true
axum-core	0.5.6	futures-core	0.3.32	normal:all	true
axum-core	0.5.6	http	1.4.0	normal:all	true
axum-core	0.5.6	http-body	1.0.1	normal:all	true
axum-core	0.5.6	http-body-util	0.1.3	normal:all	true
axum-core	0.5.6	mime	0.3.17	normal:all	true
axum-core	0.5.6	pin-project-lite	0.2.16	normal:all	true
axum-core	0.5.6	sync_wrapper	1.0.2	normal:all	true
axum-core	0.5.6	tower-layer	0.3.3	normal:all	true
axum-core	0.5.6	tower-service	0.3.3	normal:all	true
axum-core	0.5.6	tracing	0.1.44	normal:all	true
axum-server	0.7.3	arc-swap	1.8.2	normal:all	true
axum-server	0.7.3	bytes	1.11.1	normal:all	true
axum-server	0.7.3	fs-err	3.3.0	normal:all	true
axum-server	0.7.3	http	1.4.0	normal:all	true
axum-server	0.7.3	http-body	1.0.1	normal:all	true
axum-server	0.7.3	hyper	1.8.1	normal:all	true
axum-server	0.7.3	hyper-util	0.1.20	normal:all	true
axum-server	0.7.3	pin-project-lite	0.2.16	normal:all	true
axum-server	0.7.3	rustls	0.23.37	normal:all	true
axum-server	0.7.3	rustls-pemfile	2.2.0	normal:all	true
axum-server	0.7.3	rustls-pki-types	1.14.0	normal:all	true
axum-server	0.7.3	tokio	1.52.3	normal:all	true
axum-server	0.7.3	tokio-rustls	0.26.4	normal:all	true
axum-server	0.7.3	tower-service	0.3.3	normal:all	true
aya	0.13.2	assert_matches	1.5.0	normal:all	true
aya	0.13.2	aya-obj	0.2.2	normal:all	true
aya	0.13.2	bitflags	2.11.0	normal:all	true
aya	0.13.2	bytes	1.11.1	normal:all	true
aya	0.13.2	hashbrown	0.16.1	normal:all	true
aya	0.13.2	libc	0.2.186	normal:all	true
aya	0.13.2	log	0.4.29	normal:all	true
aya	0.13.2	object	0.38.1	normal:all	true
aya	0.13.2	once_cell	1.21.3	normal:all	true
aya	0.13.2	thiserror	2.0.18	normal:all	true
aya-log	0.2.2	aya	0.13.2	normal:all	true
aya-log	0.2.2	aya-log-common	0.1.16	normal:all	true
aya-log	0.2.2	log	0.4.29	normal:all	true
aya-log	0.2.2	thiserror	2.0.18	normal:all	true
aya-log-common	0.1.16	num_enum	0.7.5	normal:all	true
aya-obj	0.2.2	bytes	1.11.1	normal:all	true
aya-obj	0.2.2	hashbrown	0.16.1	normal:all	true
aya-obj	0.2.2	log	0.4.29	normal:all	true
aya-obj	0.2.2	object	0.38.1	normal:all	true
aya-obj	0.2.2	thiserror	2.0.18	normal:all	true
bevy_ecs	0.18.1	arrayvec	0.7.6	normal:all	false
bevy_ecs	0.18.1	bevy_ecs_macros	0.18.0	normal:all	true
bevy_ecs	0.18.1	bevy_platform	0.18.0	normal:all	true
bevy_ecs	0.18.1	bevy_ptr	0.18.0	normal:all	true
bevy_ecs	0.18.1	bevy_reflect	0.18.0	normal:all	true
bevy_ecs	0.18.1	bevy_tasks	0.18.0	normal:all	true
bevy_ecs	0.18.1	bevy_utils	0.18.0	normal:all	true
bevy_ecs	0.18.1	bitflags	2.11.0	normal:all	true
bevy_ecs	0.18.1	bumpalo	3.20.2	normal:all	true
bevy_ecs	0.18.1	concurrent-queue	2.5.0	"normal:all;normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_ecs	0.18.1	derive_more	2.1.1	normal:all	true
bevy_ecs	0.18.1	fixedbitset	0.5.7	normal:all	true
bevy_ecs	0.18.1	indexmap	2.14.0	normal:all	true
bevy_ecs	0.18.1	log	0.4.29	normal:all	true
bevy_ecs	0.18.1	nonmax	0.5.5	normal:all	true
bevy_ecs	0.18.1	serde	1.0.228	normal:all	false
bevy_ecs	0.18.1	slotmap	1.1.1	normal:all	true
bevy_ecs	0.18.1	smallvec	1.15.1	normal:all	true
bevy_ecs	0.18.1	thiserror	2.0.18	normal:all	true
bevy_ecs	0.18.1	variadics_please	1.1.0	normal:all	true
bevy_ecs_macros	0.18.0	bevy_macro_utils	0.18.0	normal:all	true
bevy_ecs_macros	0.18.0	proc-macro2	1.0.106	normal:all	true
bevy_ecs_macros	0.18.0	quote	1.0.44	normal:all	true
bevy_ecs_macros	0.18.0	syn	2.0.117	normal:all	true
bevy_macro_utils	0.18.0	proc-macro2	1.0.106	normal:all	true
bevy_macro_utils	0.18.0	quote	1.0.44	normal:all	true
bevy_macro_utils	0.18.0	syn	2.0.117	normal:all	true
bevy_macro_utils	0.18.0	toml_edit	0.23.10+spec-1.0.0	normal:all	true
bevy_platform	0.18.0	critical-section	1.2.0	normal:all	false
bevy_platform	0.18.0	foldhash	0.2.0	normal:all	true
bevy_platform	0.18.0	futures-channel	0.3.32	"normal:cfg(target_arch = ""wasm32"")"	true
bevy_platform	0.18.0	hashbrown	0.16.1	normal:all	true
bevy_platform	0.18.0	js-sys	0.3.90	"normal:cfg(target_arch = ""wasm32"")"	false
bevy_platform	0.18.0	portable-atomic	1.13.1	"normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_platform	0.18.0	portable-atomic-util	0.2.5	"normal:cfg(not(target_has_atomic = ""ptr""))"	true
bevy_platform	0.18.0	serde	1.0.228	normal:all	true
bevy_platform	0.18.0	spin	0.10.1	"normal:all;normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_platform	0.18.0	wasm-bindgen	0.2.113	"normal:cfg(target_arch = ""wasm32"")"	false
bevy_platform	0.18.0	wasm-bindgen-futures	0.4.63	"normal:cfg(target_arch = ""wasm32"")"	false
bevy_reflect	0.18.0	assert_type_match	0.1.1	normal:all	true
bevy_reflect	0.18.0	bevy_platform	0.18.0	normal:all	true
bevy_reflect	0.18.0	bevy_ptr	0.18.0	normal:all	true
bevy_reflect	0.18.0	bevy_reflect_derive	0.18.0	normal:all	true
bevy_reflect	0.18.0	bevy_utils	0.18.0	normal:all	true
bevy_reflect	0.18.0	derive_more	2.1.1	normal:all	true
bevy_reflect	0.18.0	disqualified	1.0.0	normal:all	true
bevy_reflect	0.18.0	downcast-rs	2.0.2	normal:all	true
bevy_reflect	0.18.0	erased-serde	0.4.9	normal:all	true
bevy_reflect	0.18.0	foldhash	0.2.0	normal:all	true
bevy_reflect	0.18.0	glam	0.30.10	normal:all	false
bevy_reflect	0.18.0	indexmap	2.14.0	normal:all	true
bevy_reflect	0.18.0	serde	1.0.228	normal:all	true
bevy_reflect	0.18.0	smallvec	1.15.1	normal:all	true
bevy_reflect	0.18.0	smol_str	0.2.2	normal:all	false
bevy_reflect	0.18.0	thiserror	2.0.18	normal:all	true
bevy_reflect	0.18.0	uuid	1.22.0	normal:all	false
bevy_reflect	0.18.0	variadics_please	1.1.0	normal:all	true
bevy_reflect	0.18.0	wgpu-types	27.0.1	normal:all	false
bevy_reflect_derive	0.18.0	bevy_macro_utils	0.18.0	normal:all	true
bevy_reflect_derive	0.18.0	indexmap	2.14.0	normal:all	true
bevy_reflect_derive	0.18.0	proc-macro2	1.0.106	normal:all	true
bevy_reflect_derive	0.18.0	quote	1.0.44	normal:all	true
bevy_reflect_derive	0.18.0	syn	2.0.117	normal:all	true
bevy_reflect_derive	0.18.0	uuid	1.22.0	"normal:cfg(target_arch = ""wasm32"")"	true
bevy_tasks	0.18.0	async-channel	2.5.0	"normal:cfg(target_arch = ""wasm32"")"	true
bevy_tasks	0.18.0	async-executor	1.14.0	normal:all	true
bevy_tasks	0.18.0	async-task	4.7.1	"normal:all;normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_tasks	0.18.0	atomic-waker	1.1.2	"normal:all;normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_tasks	0.18.0	bevy_platform	0.18.0	normal:all	true
bevy_tasks	0.18.0	crossbeam-queue	0.3.12	normal:all	true
bevy_tasks	0.18.0	derive_more	2.1.1	normal:all	true
bevy_tasks	0.18.0	futures-lite	2.6.1	normal:all	true
bevy_tasks	0.18.0	heapless	0.9.2	"normal:cfg(not(all(target_has_atomic = ""8"", target_has_atomic = ""16"", target_has_atomic = ""32"", target_has_atomic = ""64"", target_has_atomic = ""ptr"")))"	true
bevy_tasks	0.18.0	pin-project	1.1.10	"normal:cfg(target_arch = ""wasm32"")"	true
bevy_utils	0.18.0	bevy_platform	0.18.0	normal:all	true
bevy_utils	0.18.0	disqualified	1.0.0	normal:all	true
bevy_utils	0.18.0	thread_local	1.1.9	normal:all	true
bincode	2.0.1	bincode_derive	2.0.1	normal:all	true
bincode	2.0.1	serde	1.0.228	normal:all	true
bincode	2.0.1	unty	0.0.4	normal:all	true
bincode_derive	2.0.1	virtue	0.0.18	normal:all	true
bitflags	2.11.0	serde_core	1.0.228	normal:all	true
blake3	1.8.3	arrayref	0.3.9	normal:all	true
blake3	1.8.3	arrayvec	0.7.6	normal:all	true
blake3	1.8.3	cc	1.2.56	build:all	true
blake3	1.8.3	cfg-if	1.0.4	normal:all	true
blake3	1.8.3	constant_time_eq	0.4.2	normal:all	true
blake3	1.8.3	cpufeatures	0.2.17	"normal:cfg(any(target_arch = ""x86"", target_arch = ""x86_64""))"	true
block-buffer	0.10.4	generic-array	0.14.7	normal:all	true
bolero	0.13.4	bolero-afl	0.13.0	normal:cfg(fuzzing_afl)	true
bolero	0.13.4	bolero-engine	0.13.4	normal:all;normal:cfg(fuzzing_random);normal:cfg(not(any(fuzzing, kani)))	true
bolero	0.13.4	bolero-generator	0.13.5	normal:all	true
bolero	0.13.4	bolero-honggfuzz	0.13.0	normal:cfg(fuzzing_honggfuzz)	true
bolero	0.13.4	bolero-kani	0.13.0	normal:cfg(kani)	true
bolero	0.13.4	bolero-libfuzzer	0.13.0	normal:cfg(fuzzing_libfuzzer)	true
bolero	0.13.4	cfg-if	1.0.4	normal:all	true
bolero	0.13.4	rand	0.9.4	normal:cfg(fuzzing_random);normal:cfg(not(any(fuzzing, kani)))	true
bolero-afl	0.13.0	bolero-engine	0.13.4	normal:all	true
bolero-afl	0.13.0	cc	1.2.56	build:all	true
bolero-engine	0.13.4	anyhow	1.0.103	normal:all	true
bolero-engine	0.13.4	bolero-generator	0.13.5	normal:all	true
bolero-engine	0.13.4	lazy_static	1.5.0	normal:all	true
bolero-engine	0.13.4	pretty-hex	0.4.1	normal:all	true
bolero-engine	0.13.4	rand	0.9.4	normal:all	true
bolero-engine	0.13.4	rand_xoshiro	0.7.0	normal:all	true
bolero-generator	0.13.5	bolero-generator-derive	0.13.4	normal:all	true
bolero-generator	0.13.5	either	1.15.0	normal:all	true
bolero-generator	0.13.5	getrandom	0.3.4	normal:all	true
bolero-generator	0.13.5	rand_core	0.9.5	normal:all	true
bolero-generator	0.13.5	rand_xoshiro	0.7.0	normal:all	true
bolero-generator-derive	0.13.4	proc-macro-crate	2.0.2	normal:all	true
bolero-generator-derive	0.13.4	proc-macro2	1.0.106	normal:all	true
bolero-generator-derive	0.13.4	quote	1.0.44	normal:all	true
bolero-generator-derive	0.13.4	syn	2.0.117	normal:all	true
bolero-honggfuzz	0.13.0	bolero-engine	0.13.4	normal:all	true
bolero-kani	0.13.0	bolero-engine	0.13.4	normal:all	true
bolero-libfuzzer	0.13.0	bolero-engine	0.13.4	normal:all	true
bolero-libfuzzer	0.13.0	cc	1.2.56	build:all	true
bumpalo	3.20.2	allocator-api2	0.2.21	normal:all	true
bytemuck	1.25.0	bytemuck_derive	1.10.2	normal:all	false
bytemuck_derive	1.10.2	proc-macro2	1.0.106	normal:all	false
bytemuck_derive	1.10.2	quote	1.0.44	normal:all	false
bytemuck_derive	1.10.2	syn	2.0.117	normal:all	false
bytes	1.11.1	serde	1.0.228	normal:all	true
cap-fs-ext	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-fs-ext	3.4.5	cap-std	3.4.5	normal:all	true
cap-fs-ext	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-fs-ext	3.4.5	windows-sys	0.59.0	normal:cfg(windows)	true
cap-net-ext	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-net-ext	3.4.5	cap-std	3.4.5	normal:all	true
cap-net-ext	3.4.5	rustix	1.1.4	normal:all	true
cap-net-ext	3.4.5	smallvec	1.15.1	normal:all	true
cap-primitives	3.4.5	ambient-authority	0.0.2	normal:all	true
cap-primitives	3.4.5	fs-set-times	0.20.3	normal:all	true
cap-primitives	3.4.5	io-extras	0.18.4	normal:all	true
cap-primitives	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-primitives	3.4.5	ipnet	2.11.0	normal:all	true
cap-primitives	3.4.5	maybe-owned	0.3.4	normal:all	true
cap-primitives	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-primitives	3.4.5	rustix-linux-procfs	0.1.1	"normal:cfg(any(target_os = ""android"", target_os = ""linux""))"	true
cap-primitives	3.4.5	windows-sys	0.59.0	normal:cfg(windows)	true
cap-primitives	3.4.5	winx	0.36.4	normal:cfg(windows)	true
cap-std	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-std	3.4.5	io-extras	0.18.4	normal:all	true
cap-std	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-std	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-time-ext	3.4.5	ambient-authority	0.0.2	normal:all	true
cap-time-ext	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-time-ext	3.4.5	iana-time-zone	0.1.65	normal:all	true
cap-time-ext	3.4.5	once_cell	1.21.3	normal:cfg(windows)	true
cap-time-ext	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-time-ext	3.4.5	winx	0.36.4	normal:cfg(windows)	true
cc	1.2.56	find-msvc-tools	0.1.9	normal:all	true
cc	1.2.56	jobserver	0.1.34	normal:all	true
cc	1.2.56	libc	0.2.186	normal:cfg(unix)	true
cc	1.2.56	shlex	1.3.0	normal:all	true
