name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
addr2line	0.26.0	registry	true	true	true	false	false
adler2	2.0.1	registry	true	true	true	false	false
aes	0.8.4	registry	true	true	true	false	false
agent-runtime	0.1.0	workspace	true	true	true	false	false
ahash	0.8.12	registry	true	true	true	false	false
aho-corasick	1.1.4	registry	true	true	true	true	false
alloca	0.4.0	registry	false	true	true	true	false
allocator-api2	0.2.21	registry	true	true	true	true	true
ambient-authority	0.0.2	registry	true	true	true	false	false
android_system_properties	0.1.5	registry	false	false	true	false	true
anes	0.1.6	registry	false	true	true	true	false
anstream	0.6.21	registry	true	true	true	true	false
anstyle	1.0.13	registry	true	true	true	true	true
anstyle-parse	0.2.7	registry	true	true	true	true	false
anstyle-query	1.1.5	registry	true	true	true	true	false
anstyle-wincon	3.0.11	registry	false	false	true	false	true
anyhow	1.0.103	registry	true	true	true	true	true
approx	0.5.1	registry	false	true	true	true	false
arbitrary	1.4.2	registry	true	true	true	false	false
arc-swap	1.8.2	registry	true	true	true	false	false
array-init	2.1.0	registry	true	true	true	false	false
arrayref	0.3.9	registry	true	true	true	false	false
arrayvec	0.7.6	registry	true	true	true	false	false
asn1-rs	0.7.1	registry	true	true	true	false	false
asn1-rs-derive	0.6.0	registry	true	true	true	false	false
asn1-rs-impl	0.2.0	registry	true	true	true	false	false
assert_matches	1.5.0	registry	true	true	true	false	false
assert_type_match	0.1.1	registry	true	true	true	false	false
async-channel	2.5.0	registry	false	false	true	false	true
async-executor	1.14.0	registry	true	true	true	false	false
async-nats	0.47.0	registry	true	true	true	false	false
async-task	4.7.1	registry	true	true	true	false	false
async-trait	0.1.89	registry	true	true	true	false	false
atomic-waker	1.1.2	registry	true	true	true	false	false
autocfg	1.5.0	registry	true	true	true	true	false
aws-lc-rs	1.17.0	registry	true	true	true	false	false
aws-lc-sys	0.41.0	registry	true	true	true	false	false
axum	0.8.9	registry	true	true	true	false	false
axum-core	0.5.6	registry	true	true	true	false	false
axum-server	0.7.3	registry	true	true	true	false	false
aya	0.13.2	git	true	true	true	false	false
aya-log	0.2.2	git	true	true	true	false	false
aya-log-common	0.1.16	git	true	true	true	false	false
aya-obj	0.2.2	git	true	true	true	false	false
base64	0.22.1	registry	true	true	true	false	false
base64ct	1.8.3	registry	true	true	true	false	false
bevy_ecs	0.18.1	registry	true	true	true	false	false
bevy_ecs_macros	0.18.0	registry	true	true	true	false	false
bevy_macro_utils	0.18.0	registry	true	true	true	false	false
bevy_platform	0.18.0	registry	true	true	true	false	false
bevy_ptr	0.18.0	registry	true	true	true	false	false
bevy_reflect	0.18.0	registry	true	true	true	false	false
bevy_reflect_derive	0.18.0	registry	true	true	true	false	false
bevy_tasks	0.18.0	registry	true	true	true	false	false
bevy_utils	0.18.0	registry	true	true	true	false	false
bincode	2.0.1	registry	true	true	true	false	false
bincode_derive	2.0.1	registry	true	true	true	false	false
bitflags	2.11.0	registry	true	true	true	true	true
blake3	1.8.3	registry	true	true	true	false	false
block-buffer	0.10.4	registry	true	true	true	false	false
bolero	0.13.4	registry	false	true	true	true	false
bolero-afl	0.13.0	registry	false	false	true	false	true
bolero-engine	0.13.4	registry	false	true	true	true	true
bolero-generator	0.13.5	registry	false	true	true	true	true
bolero-generator-derive	0.13.4	registry	false	true	true	true	true
bolero-honggfuzz	0.13.0	registry	false	false	true	false	true
bolero-kani	0.13.0	registry	false	false	true	false	true
bolero-libfuzzer	0.13.0	registry	false	false	true	false	true
bumpalo	3.20.2	registry	true	true	true	false	true
bytemuck	1.25.0	registry	false	false	false	false	false
bytemuck_derive	1.10.2	registry	false	false	false	false	false
byteorder	1.5.0	registry	true	true	true	false	true
bytes	1.11.1	registry	true	true	true	true	true
cap-fs-ext	3.4.5	registry	true	true	true	false	false
cap-net-ext	3.4.5	registry	true	true	true	false	false
cap-primitives	3.4.5	registry	true	true	true	false	false
cap-std	3.4.5	registry	true	true	true	false	false
cap-time-ext	3.4.5	registry	true	true	true	false	false
cast	0.3.0	registry	false	true	true	true	false
