name	versions	decision	forcing_chains
cpufeatures	0.2.17,0.3.0	investigate	0.2.17 <- aes@0.8.4,blake3@1.8.3,curve25519-dalek@4.1.3,keccak@0.1.6,sha1@0.10.6,sha2@0.10.9; 0.3.0 <- chacha20@0.10.0
embedded-io	0.4.0,0.6.1	investigate	0.4.0 <- postcard@1.1.3; 0.6.1 <- postcard@1.1.3
fixedbitset	0.4.2,0.5.7	investigate	0.4.2 <- petgraph@0.6.5; 0.5.7 <- bevy_ecs@0.18.1,petgraph@0.8.3
foldhash	0.1.5,0.2.0	investigate	0.1.5 <- hashbrown@0.15.5; 0.2.0 <- bevy_platform@0.18.0,bevy_reflect@0.18.0,hashbrown@0.16.1,hashbrown@0.17.1
getrandom	0.2.17,0.3.4,0.4.1	investigate	0.2.17 <- nanorand@0.7.0,nkeys@0.4.5,rand_core@0.6.4,redox_users@0.4.6,redox_users@0.5.2,ring@0.17.14,zenoh-keyexpr@1.7.2; 0.3.4 <- ahash@0.8.12,bolero-generator@0.13.5,fastbloom@0.14.1,jobserver@0.1.34,quinn-proto@0.11.15,rand_core@0.9.5; 0.4.1 <- rand@0.10.1,tempfile@3.27.0,uuid@1.22.0
hashbrown	0.12.3,0.14.5,0.15.5,0.16.1,0.17.1	investigate	0.12.3 <- indexmap@1.9.3; 0.14.5 <- keyed-set@1.1.0; 0.15.5 <- petgraph@0.8.3; 0.16.1 <- aya-obj@0.2.2,aya@0.13.2,bevy_platform@0.18.0,gimli@0.33.0,hashlink@0.11.0,object@0.38.1,rsqlite-vfs@0.1.0,zenoh-keyexpr@1.7.2; 0.17.1 <- cranelift-codegen@0.132.3,indexmap@2.14.0,object@0.39.1,regalloc2@0.15.1,wasmtime-environ@45.0.3,wasmtime-internal-core@45.0.3,wit-parser@0.248.0
indexmap	1.9.3,2.14.0	investigate	1.9.3 <- serde_with@3.17.0; 2.14.0 <- bevy_ecs@0.18.1,bevy_reflect@0.18.0,bevy_reflect_derive@0.18.0,gimli@0.33.0,h2@0.4.14,object@0.38.1,object@0.39.1,petgraph@0.6.5,petgraph@0.8.3,serde_yaml@0.9.34+deprecated,toml_edit@0.20.2,toml_edit@0.23.10+spec-1.0.0,wasm-compose@0.248.0,wasmtime-environ@45.0.3,wasmtime-internal-wit-bindgen@45.0.3,wit-parser@0.248.0
itertools	0.13.0,0.14.0	investigate	0.13.0 <- criterion-plot@0.8.2,criterion@0.8.2; 0.14.0 <- wasmtime-internal-cranelift@45.0.3,zenoh@1.7.2
nix	0.29.0,0.30.1	investigate	0.29.0 <- zenoh-link-unixsock_stream@1.7.2; 0.30.1 <- fuser@0.17.0
object	0.38.1,0.39.1	investigate	0.38.1 <- aya-obj@0.2.2,aya@0.13.2,sentinel-ebpf@0.1.0; 0.39.1 <- wasmtime-environ@45.0.3,wasmtime-internal-cranelift@45.0.3,wasmtime-internal-jit-debug@45.0.3,wasmtime-internal-unwinder@45.0.3,wasmtime@45.0.3
